ACE2	?	?	?	?	?	2
ACER2	500	13	48	682	257	1062
ACER3	4804	136	467	3125	1028	4537
ACHE	?	?	?	20	7	53
ACIN1	14701	472	1726	12577	4234	18927
ACLY	31056	926	3414	19302	6180	28141
ACMSD	14	2	8	5	17
ACN9	347	6	36	303	71	435
ACO1	6888	194	689	4078	1267	5536
ACO2	5617	181	698	3868	1163	6506
ACOT1	1117	28	90	979	265	1373
ACOT11	54	3	14	94	18	111
ACOT12	1035	60	390	525	180	1215
ACOT13	2160	67	274	2039	700	3172
ACOT2	1933	53	213	1889	551	2758
ACOT4	339	22	261	88	338
ACOT6	?	?	?	9	5	7
ACOT7	857	41	126	1050	390	1913
ACOT8	814	23	91	516	191	942
ACOT9	4110	100	415	4278	1421	5795
ACOX1	6441	230	729	5995	1922	8795
ACOX2	100	2	24	325	117	496
ACOX3	894	20	108	803	262	1117
ACOXL	?	?	?	16	2	7
ACP1	3616	94	313	3433	1151	5502
ACP2	4308	113	463	3564	1170	5641
ACP5	65	2	6	56	17	84
ACP6	989	50	110	1057	319	1323
ACPL2	2453	87	215	1309	426	2030
ACPP	53	3	13	62	10	51
ACPT	30	1	5	27	10	45
ACR	?	?	?	10	2	2
ACRBP	?	?	?	?	?	15
ACRC	3912	121	474	3787	941	7296
ACRV1	133	6	9	165	44	174
ACSBG1	?	?	?	31	9	34
ACSBG2	69	12	65	19	74
ACSF2	2329	86	217	1129	276	1751
ACSF3	909	29	157	837	266	1436
ACSL1	2917	72	226	1616	541	2098
ACSL3	20432	516	1840	11398	3686	16634
ACSL4	18467	460	1605	17821	5388	25056
ACSL5	2654	46	223	4204	1399	5790
ACSL6	1365	47	233	1657	522	2772
ACSM1	?	?	?	3	2	2
ACSM2A	21	1	14	8	13
ACSM3	207	4	17	195	64	279
ACSM4	15	1	30	16	46
ACSM5	28	6	27	4	39
ACSS1	223	6	37	433	153	682
ACSS2	2732	82	335	2063	574	2918
ACSS3	91	6	13	105	34	187
ACTA1	116	7	19	100	23	176
ACTA2	803	30	87	547	208	889
ACTB	140293	4501	17985	134249	40925	215147
ACTBL2	?	?	?	118	35	130
ACTC1	5	2	5	5	16
ACTG1	56359	1912	7568	52231	16225	87179
ACTG1P4	18	1	1	18	8	19
ACTG2	35	4	9	73	14	87
ACTL10	161	12	24	130	29	175
ACTL6A	7209	214	740	5130	1553	7091
ACTL7A	4	2	14	2	21
ACTL7B	?	?	?	?	?	2
ACTL8	?	?	?	?	?	4
ACTN1	31881	1107	4089	33489	10166	52033
ACTN1-AS1	5	1	13	4	17
ACTN2	259	6	22	356	106	551
ACTN3	?	?	?	5	5	7
ACTN4	15071	566	2382	15754	4799	25781
ACTR10	5007	129	498	4600	1644	6975
ACTR1A	7368	233	721	7241	2240	10736
ACTR1B	2110	78	276	1225	375	2037
ACTR2	16341	452	1775	16827	5104	24933
ACTR3	20760	590	1785	22801	7589	32921
ACTR3B	420	11	36	455	156	663
ACTR3BP5	?	?	?	?	?	2
ACTR3C	285	3	21	305	83	368
ACTR5	1150	35	117	1375	477	1923
ACTR6	1979	62	203	1792	546	2754
ACTR8	4226	98	448	3354	982	4364
ACTRT3	212	7	24	206	87	308
ACVR1	2145	70	188	1910	635	2667
ACVR1B	2548	64	260	2440	746	3464
ACVR1C	48	2	37	21	69
ACVR2A	2220	54	195	1584	545	2368
ACVR2B	2439	60	299	2424	794	3186
ACVR2B-AS1	136	6	15	131	34	181
ACVRL1	157	3	28	158	33	211
ACY1	661	32	115	415	128	818
ACY3	?	?	?	6	2	27
ACYP1	924	38	113	822	270	1249
ACYP2	124	5	11	71	38	142
ADA	535	12	38	375	137	674
ADAL	1190	29	123	1121	355	1593
ADAM10	16220	396	1486	10854	3691	15671
ADAM11	487	28	86	166	47	371
ADAM12	19610	535	1873	13582	4641	18817
ADAM15	4068	140	555	2439	880	4462
ADAM17	9518	223	913	6893	2372	10271
ADAM19	12354	372	1107	20025	6506	28570
ADAM1A	282	9	36	334	96	479
ADAM20	186	5	14	164	51	240
ADAM20P1	135	6	15	130	52	140
ADAM21	48	10	59	19	65
ADAM21P1	?	?	?	10	6	17
ADAM22	495	12	26	265	80	322
ADAM23	180	8	43	177	89	217
ADAM28	51	3	54	6	41
ADAM30	?	?	2	6	2	2
ADAM32	129	4	2	107	19	150
ADAM33	4490	161	723	1478	473	2598
ADAM3A	?	?	?	4	2	6
ADAM8	42	9	12	176	72	390
ADAM9	40593	1040	3539	25399	8464	33256
ADAMDEC1	?	?	?	?	?	3
ADAMTS1	11804	352	1129	12932	4347	18539
ADAMTS10	149	1	26	114	53	157
ADAMTS12	5372	122	527	5438	1871	7835
ADAMTS13	127	9	19	104	35	155
ADAMTS14	212	18	65	154	39	219
ADAMTS15	1510	53	199	1037	423	1625
ADAMTS16	3351	111	347	3077	1067	3987
ADAMTS17	477	23	82	681	236	1100
ADAMTS18	?	?	?	?	?	4
ADAMTS19	?	?	?	?	1	3
ADAMTS2	860	22	107	507	183	958
ADAMTS20	?	?	?	81	28	123
ADAMTS3	882	31	92	457	125	587
ADAMTS4	2756	113	355	3854	1213	5866
ADAMTS5	1017	27	93	657	218	1007
ADAMTS6	6123	165	578	11542	3800	15166
ADAMTS7	214	3	45	230	94	596
ADAMTS8	?	?	?	?	?	3
ADAMTS9	16	5	31	19	50
ADAMTS9-AS2	?	?	?	2	3	3
ADAMTSL1	15315	399	1714	10273	3507	14647
ADAMTSL2	703	44	96	1015	327	1608
ADAMTSL3	?	?	?	13	5	10
ADAMTSL4	754	19	103	272	84	508
ADAMTSL5	234	11	14	130	36	136
ADAP1	254	6	23	185	59	423
ADAP2	85	4	4	85	27	81
ADAR	36858	943	3523	37660	12327	53354
ADARB1	1606	58	207	1937	617	2743
ADARB2	76	1	11	139	27	153
ADAT1	4028	108	424	4771	1472	6511
ADAT2	461	11	54	560	219	798
ADAT3	122	6	18	48	22	72
ADC	77	7	13	92	17	135
ADCK1	199	18	13	157	47	245
ADCK2	1010	27	144	872	255	1326
ADCK3	914	28	141	616	216	1043
ADCK4	357	20	49	224	52	402
ADCK5	359	12	64	244	97	484
